algorithm,size_bytes,error_rate,success_rate,avg_overhead,avg_time_ms
crc32,16,0.0,0.86,0.25,2.1624755859375
crc32,16,0.01,0.11,0.25,1.827104091644287
crc32,16,0.02,0.03,0.25,2.181277275085449
crc32,16,0.05,0.0,0.25,2.103426456451416
crc32,128,0.0,0.24,0.03125,2.8053665161132812
crc32,128,0.01,0.0,0.03125,3.0724334716796875
crc32,128,0.02,0.0,0.03125,3.9274930953979488
crc32,128,0.05,0.0,0.03125,5.921542644500732
crc32,256,0.0,0.11,0.015625,7.467184066772461
crc32,256,0.01,0.0,0.015625,7.869968414306641
crc32,256,0.02,0.0,0.015625,6.575832366943359
crc32,256,0.05,0.0,0.015625,5.966274738311768
