algorithm,size_bytes,error_rate,success_rate,avg_overhead,avg_time_ms
viterbi,16,0.0,0.85,1.0,8.440229892730713
viterbi,16,0.01,0.87,1.0,7.496557235717773
viterbi,16,0.02,0.8,1.0,8.016042709350586
viterbi,16,0.05,0.55,1.0,6.815149784088135
viterbi,128,0.0,0.19,1.0,59.991488456726074
viterbi,128,0.01,0.29,1.0,59.99588966369629
viterbi,128,0.02,0.19,1.0,76.9835638999939
viterbi,128,0.05,0.02,1.0,67.119882106781
viterbi,256,0.0,0.13,1.0,131.6683030128479
viterbi,256,0.01,0.06,1.0,136.3520050048828
viterbi,256,0.02,0.05,1.0,130.29300451278687
viterbi,256,0.05,0.0,1.0,145.98998546600342
